0,3
1,2
2,1
3,2
4,5
5,5
6,6
7,0
8,4
9,0
10,3
11,5
12,2
13,4
14,8
15,8
16,2
17,6
18,6
19,1
20,2
21,9
22,2
23,1
24,0
25,0
26,3
27,2
28,4
29,3
30,7
31,6
32,3
33,3
34,4
35,4
36,8
37,9
38,5
39,8
40,2
41,5
42,6
43,9
44,2
45,4
46,3
47,9
48,9
49,0
50,8
51,3
52,9
53,4
54,8
55,4
56,0
57,5
58,5
59,2
60,6
61,0
62,4
63,7
64,6
65,3
66,6
67,3
68,2
69,6
70,6
71,4
72,9
73,7
74,2
75,7
76,8
77,8
78,2
79,1
80,6
81,3
82,7
83,6
84,1
85,7
86,2
87,4
88,8
89,1
90,5
91,4
92,9
93,1
94,7
95,8
96,4
97,5
98,6
99,9
100,4
101,9
102,4
103,6
104,5
105,1
106,2
107,9
108,4
109,7
110,2
111,5
112,4
113,3
114,7
115,5
116,1
117,4
118,3
119,5
120,4
121,0
122,2
123,5
124,4
125,8
126,8
127,7
128,1
129,3
130,3
131,6
132,9
133,7
134,8
135,5
136,2
137,9
138,2
139,1
140,5
141,5
142,9
143,2
144,0
145,4
146,4
147,1
148,9
149,0
150,2
151,4
152,2
153,4
154,7
155,2
156,2
157,2
158,4
159,7
160,1
161,7
162,5
163,0
164,9
165,3
166,8
167,6
168,1
169,1
170,3
171,1
172,2
173,1
174,7
175,1
176,3
177,2
178,3
179,8
180,7
181,5
182,1
183,0
184,9
185,8
186,6
187,0
188,7
189,3
190,6
191,1
192,9
193,1
194,0
195,4
196,5
197,4
198,3
199,1
200,9
201,4
202,3
203,8
204,2
205,5
206,8
207,0
208,6
209,8
210,6
211,6
212,4
213,8
214,2
215,5
216,3
217,8
218,1
219,4
220,4
221,9
222,6
223,2
224,4
225,6
226,0
227,5
228,1
229,9
230,9
231,5
232,0
233,0
234,3
235,3
236,8
237,1
238,1
239,7
240,1
241,3
242,5
243,4
244,8
245,9
246,3
247,0
248,1
249,0
250,0
251,6
252,1
253,4
254,3
255,0
256,1
257,1
258,3
259,1
260,6
261,3
262,0
263,0
264,4
265,1
266,6
267,8
268,2
269,3
270,0
271,9
272,3
273,7
274,5
275,2
276,8
277,9
278,6
279,6
280,4
281,6
282,5
283,2
284,2
285,4
286,8
287,6
288,7
289,1
290,7
291,1
292,0
293,9
294,7
295,0
296,0
297,6
298,3
299,6
300,4
301,1
302,7
303,1
304,2
305,0
306,5
307,3
308,8
309,4
310,1
311,9
312,4
313,3
314,5
315,9
316,0
317,6
318,6
319,1
320,9
321,4
322,6
323,0
324,6
325,9
326,5
327,9
328,9
329,9
330,9
331,3
332,6
333,8
334,8
335,1
336,8
337,8
338,9
339,2
340,1
341,2
342,7
343,7
344,9
345,4
346,7
347,7
348,0
349,5
350,9
351,4
352,6
353,0
354,5
355,4
356,3
357,0
358,7
359,5
360,9
361,2
362,6
363,0
364,9
365,4
366,6
367,7
368,3
369,6
370,1
371,3
372,1
373,6
374,4
375,1
376,3
377,4
378,9
379,2
380,6
381,1
382,5
383,6
384,0
385,2
386,0
387,7
388,1
389,1
390,3
391,9
392,4
393,5
394,3
395,4
396,0
397,5
398,2
399,6
400,0
401,1
402,1
403,1
404,3
405,4
406,1
407,9
408,0
409,6
410,2
411,2
412,7
413,8
414,1
415,7
416,8
417,0
418,0
419,7
420,7
421,2
422,3
423,2
424,0
425,7
426,1
427,0
428,7
429,0
430,5
431,9
432,3
433,5
434,7
435,5
436,4
437,4
438,2
439,3
440,7
441,7
442,6
443,9
444,2
445,0
446,7
447,4
448,6
449,7
450,7
451,4
452,3
453,1
454,4
455,0
456,8
457,7
458,8
459,5
460,4
461,7
462,1
463,1
464,4
465,4
466,5
467,0
468,7
469,8
470,3
471,0
472,6
473,1
474,6
475,3
476,7
477,5
478,5
479,5
480,0
481,9
482,0
483,2
484,7
485,0
486,0
487,0
488,3
489,8
490,2
491,1
492,8
493,0
494,3
495,4
496,0
497,7
498,8
499,4
500,7
501,3
502,5
503,0
